"library_id" "total_spots" "total_bases" "taxonomy_id" "ScientificName"
"SRR21358941" 1917734 287660100 1869227 "bacterium"
"SRR21361398" 291444 87433200 1869227 "bacterium"
"SRR21359586" 1092728 163909200 1869227 "bacterium"
"SRR21358456" 2028406 304260900 1869227 "bacterium"
"SRR21362631" 959872 287961600 1869227 "bacterium"
"SRR21360394" 59684 8952600 1869227 "bacterium"
"SRR21361977" 520868 156260400 1869227 "bacterium"
"SRR21360086" 621256 93188400 1869227 "bacterium"
"SRR21362553" 12429 3728700 1869227 "bacterium"
"SRR21362713" 229674 68902200 1869227 "bacterium"
"SRR21362113" 145 43500 1869227 "bacterium"
"SRR21361928" 471476 141442800 1869227 "bacterium"
"SRR21358158" 2296920 344538000 1869227 "bacterium"
"SRR21363129" 384535 115360500 1869227 "bacterium"
"SRR21361417" 167 50100 1869227 "bacterium"
"SRR21362783" 646781 194034300 1869227 "bacterium"
"SRR21359995" 2242138 336320700 1869227 "bacterium"
"SRR12182875" 373750 110383276 1869227 "bacterium"
"SRR21358241" 490368 73555200 1869227 "bacterium"
"SRR21360784" 239372 35905800 1869227 "bacterium"
"SRR21361909" 867767 260330100 1869227 "bacterium"
"SRR21362979" 535551 160665300 1869227 "bacterium"
"SRR21359763" 304128 45619200 1869227 "bacterium"
"SRR21360912" 341424 102427200 1869227 "bacterium"
"SRR21358645" 818476 122771400 1869227 "bacterium"
"SRR21360071" 16372 4911600 1869227 "bacterium"
"SRR21361442" 1356248 406874400 1869227 "bacterium"
"SRR21359990" 640074 96011100 1869227 "bacterium"
"SRR21358397" 1321878 198281700 1869227 "bacterium"
"SRR12182799" 235168 69514967 1869227 "bacterium"
"SRR21360137" 1394872 209230800 1869227 "bacterium"
"SRR21363049" 189 56700 1869227 "bacterium"
"SRR21362109" 387867 116360100 1869227 "bacterium"
"SRR21361121" 1376984 413095200 1869227 "bacterium"
"SRR21361326" 359238 107771400 1869227 "bacterium"
"SRR21359795" 317814 47672100 1869227 "bacterium"
"SRR21362290" 569783 170934900 1869227 "bacterium"
"SRR21361998" 1059319 317795700 1869227 "bacterium"
"SRR21362089" 593588 178076400 1869227 "bacterium"
"SRR21358407" 860010 129001500 1869227 "bacterium"
"SRR21359120" 1383074 207461100 1869227 "bacterium"
"SRR21358506" 406438 60965700 1869227 "bacterium"
